Obverse,Reverse,tag
-ability[名词后缀],"由-able+-ity而，构成抽象名词，表示“可...性”、“易...性”、“可...”
knowability      可知性
changeability    可变性
readability      可读性
lovability        可爱
usability        可用性，能用
dependability   可靠性
movability      可移动性
preventability   可防止
inflammability   易燃性
adaptability     可适应性
",suffix
-able[形容词后缀],"表示“可...的”、“能...的”，或具有某种性质的
knowable       可知的
changeable     可变的
readable        可读的
lovable         可爱的
usable         能用的
dependable     可靠的
movable         可移动的
preventable     可防止的
inflammable     易燃的
adaptable       可适应的
",suffix
-ably[副词后缀],"由-able转成，表示“可...地”、“...地”


peaceably       和平地
suitably         合适地
laughably       可笑地
dependably     可靠地
comfortably     舒适地
changeably      可变地
movably         可移动地
lovably         可爱地
comparably     可比较地
honourably      光荣地
",suffix
-aceous[形容词后缀],"表示有...性质的、属于...的、如...的、具有...的
rosaceous      玫瑰色的
curvaceous     （妇女）有曲线美的
herbaceous     草本的
foliaceous       叶状的
olivaceous      （似）橄榄的
carbonaceous   含碳的
crustaceous     皮壳的
orchidaceous    似兰花的
",suffix
-acious[形容词后缀],"表示有...性质的、属于...的、如...的、具有...的
rapacious        掠夺的
vivacious        活泼的，有生气的
sagacious       聪明的
capacious       容量大的
sequacious      盲从的
loquacious      多言的
veracious       真实的
edacious       贪吃的
audacious       胆大的
",suffix
-acity[名词后缀],"构成抽象名词，表示性质、状态、情况、与形容词后缀-acious相对应
rapacity        掠夺
vivacity        活泼，有生气
sagacity        聪明，贤明
veracity        诚实，真实
capacity        容量
audacity       大胆
laoqucity       多言，健谈
edacity        贪吃
sequacity      盲从
",suffix
-acle[名词后缀],"构成实物名词及抽象名词
receptacle       容器，花托
miracle          奇迹
manacle         手铐
obstacle         障碍
spiracle          通气孔
tentacle         触角，触须
spectacle        景物
pentacle         五角星形
",suffix
-acy[名词后缀],"构成抽象名词、表示性质、状态、行为、职权等
determinacy      确定性
conspiracy       阴谋、密谋
supremacy       至高，无上
candidacy        候选人的地位
literacy          识字
priavacy         隐居
intimacy         亲密
accuracy        精确
",suffix
-ade[名词后缀],"1、表示行为、状态、事物
blockade        封锁
cannonade      炮击
masquerade     化装舞会
fusillade        一齐射击
gasconade      吹牛，夸口
fanfaronade     吹牛
2、表示物（由某种材料制成者或按某种形状制成者）
orangeade      桔子水
cockade        帽章
stockade       栅栏，木篱
balustrade     （一行）栏杆
lemonade      柠檬水
arcade         拱廓
3、表示参加某种行动的个人或集体
brigade        旅，队
renegade      叛徒，变节者
crusade       十字军
cavalcade      骑兵队
",suffix
-age[名词后缀],"1、表示集合名词、总称
wordage       文字，词汇量
percentage     百分比
tonnage       吨数，吨位
wattage        电的瓦数
mileage        英里数
herbage       草本植物
acreage       英亩数
leafage        叶子（总称）
assemblage    集合的人群
peerage       贵族（总称）
2、表示场所、地点
orphanage     孤儿院
village         村庄
anchorage     停泊所
cottage        村舍
hermitage      隐士住处
vicarage       牧师住所
passage       通道
pasturage      牧场
3、表示费用
postage        邮资
wharfage       码头税
railage         铁路运费
freightage      货运费
waterage       水运费
pilotage        领航费
cartage        车运费
towage        拖船费
expressage    快运费
porterage      搬运费
lighterage      驳运费
brokerage      经手费
haulage       （拖）运费
demurrage     滞留费
4、表示行为或行为的结果
marriage       结婚
rootage        生根
brigandage     强盗行为
breakage       破碎，破损
stoppage      阻止，阻塞
brewage       酿造
clearage       清除，清理
tillage         耕作，耕种
wastage       耗损
pilgrimage     朝圣
shrinkage      收缩，皱缩
storage        贮存，保管
5、表示状态、情况、身份及其他
shorage       短缺
parentage     出身，门第
pupilage      学生身份
advantage     利益
alienage      外国人身份
verbiage      冗词，赘语
visage        面貌
dotage       老年昏惯
reportage     报告文学
language      语言
6、表示物
roofage       盖屋顶的材料
roughage     粗粮，粗饲料
package      包裹
blindage      盲獐，掩体
bandage      绷带
wrappae      包装材料
carriage      马车，客车厢
droppage     落下物
altarage       祭坛的祭品
appendage    附属物
",suffix
-ain[名词后缀],"表示人
riverain        住在河边的人
villain          恶棍，坏人
captain        船长
chamberlain    财务管理人
chieftain       酋长，头子
chanpain       小教堂的牧师
",suffix
-aire[名词后缀],"表示人
millionaire      百分富翁
solitaire        独居者
billionaire      亿万富翁
commissionaire  看门人
occupationaire   军事占领人员
concessionaire  特许权所有人
doctrinaire      教条主义者
",suffix
-al①[形容词后缀],"表示属于...的、具有...性质的、如...的
personal         个人的
prepositional     介词的
autumnal         秋天的
national          国家的，民族的
emotional        感情上的
imaginal         想像的
global           全球的
coastal          海岸的
parental         父母的
invitational       邀请的
frontal           前面的，正面的
conversational    会话的
governmental     政府的
natural           自然（界）的
regional          地区的，局部的
continental       大陆的
educational       教育的
exceptional       例外的
②[名词后缀]
1、构成抽象名词，表示行为、状况、事情
refusal           拒绝
proposal         提议
withdrawal        撤退
recital           背诵
removal          移动，迁移
arrival           到达
renewal          更新
appraisal         评价
suuposal         想象，假定
dismissal         解雇，开除
survival          尚存，幸存
overbrowal       推翻，打倒
reviewal          复习
revival           再生，复活
approval         批准，赞成
trial              试验，尝试
2、表示人
criminal         犯罪分子
rival            竞争者
aboriginal       土人
rascal           恶棍，歹徒
corporal        班长，下士
arrival          到达者
3、表示物
mural           壁画
dial            日晷
manual         手册
hospital        医院
arsenal         武器库
urinal          尿壶，小便池
singal          信号
diagonal        对角线
",suffix
-ality[名词后缀],"复合后缀，由-al+-ity而成，构成抽象名词，表示状态、情况、性质、“...性”
personaility     个性，人格
logicality        逻辑性
nationality       国籍
criminality       有罪
exceptionality    特殊性
formality         拘泥形式
conditionality     条件性
emotionality      富于感情
commonality     公共，普通
technicality      技术性
",suffix
-ally[副词后缀],"复合合缀，由-al+-ly而成，表示方式、程度、状态、“...地”
dramatically      戏剧性地
practically        实际上
exceptionally     例外地
climatically       在气候上
heroically        英勇地
systematically    系统地
continually       连续地
naturally         自然地
conditionally      有条件地
aritsitcally        艺术性地
",suffix
-an①[形容词后缀],"表示属于...的、属于某地方的。带此后缀的形容词有的兼作名词，表示某地的人
amphibian        水陆两栖的
European        欧洲的，欧洲人
urban            城市的
American         美洲的，美洲人，美国人
suburban        郊区的
repubilican       共和国的
African          非洲的，非洲人
Roman           罗马的，罗马人
Chilian          智利的，智利人
②[名词后缀]
表示人
partisan         同党人
Spartan         斯巴达人
artisan          技工，手艺人
Mohammedan   回教徒，伊斯兰教徒
Puritan         清教徒
Elizabethan     伊丽莎白女王时代的人
castellan        城堡主，寨主
",suffix
-ance[名词后缀],"构成抽象名词，表示状态、情况、性质、行为、与-ancy同。许多词具有-ance与-ancy两种后缀形式
resistance        抵抗
attendance        出席，到场
expectance       期待，期望
guidance         指导
luxuriance        奢华，华丽
buoyance         浮力
continuance      继续，连续
assistance        援助
appearance       出现
vigilance         警惕（性）
clearance        清除，清理
disturbance      骚扰
repentance       后悔
forbearance      克制，忍耐
endurance       持久，忍耐
accordance       一致
reliance         依赖
ignorance        无知，愚昧
",suffix
-ancy[名词后缀],"构成抽象名词，表示状态、情况、性质、行为、与-ance同。许多词具有-ance与-ancy两种后缀形式
expectancy       期待，期望
occupancy       占有，占用
luxuriancy        奢华，华丽
conservancy     保护，管理
buoyancy        浮力
brilliancy         光辉
compliancy       依从，服从
constancy        经久不变
militancy         交战，战事
elegancy         优美，高雅
",suffix
-aneity[名词后缀],"构成抽象名词，表示性质、状态、情况，与-aneous相对应
instantaneity     立刻（instantaneous立刻的）
simultaneity     同时发生（simultaneous同时发生的）
contemporaneity 同时时代（contemporaneous同时代的）
",suffix
-aneous[形容词后缀],"表示有...性质的、属于...的，一部分与-aneity相对应，参见上条
instantaneous    立刻的
simultaneous     同时发生的
contemporaneous 同时代的
spontaneous      自发的
consentaneous    同意的，一致的
subterraneous     地下的
extemporaneous   临时的，即席的
miscellaneous     杂项的，各种的
extraneous        外来的
",suffix
-ant①[形容词后缀],"大部分与-ance或-ancy，相对应，表示属于...的、具有...性质的
expectant         期待的
vigilant           警惕的
luxuriant          奢华的
attendant         在场的
resistant          抵抗的
determinant       决定性的
assistant          辅助的
repentant         后悔的
buoyant          有浮力的
accordant         和谐的，一致的
ignorant          无知的
abundant         丰富的
reliant            依赖的
②[名词后缀]
1、表示人
examinant         主考人
insurant           被保险人
inhabitant         居民
accountant        核算者，会计
occupant          占据者
executant         执行者
informant         提供消息者
servant           仆人
participant        参与者
assistant         助手，助理
registrant        管登记者
discussant       参加讨论者
accusant        控告者
attendant        出席者
disputant        争论者
confidant        信任者，知已
2、表示物
coolant          冷却剂
digestrant        消化剂
excitant         兴奋剂
stimulant        刺激物
decolourant      脱色剂
depressant       抑制剂
dependant       依附物
disinfectant      消毒剂
",suffix
-ar①[形容词后缀],"表示有...性质的、属于...的、如...的
linear           线的，线性的
peculiar        特有的
similar          同样的，相似的
familiar         熟知的
consular        领事的
nuclear        核子的
insular          海岛的，岛形的
solar           太阳的
singular        单独的
angular        有角的
polar           南（北）极的
molecular       分子的
②[名词后缀]
1、表示人
scholar          学者
liar             说谎的人
beggar          乞丐
pedlar          商贩，小贩
registrar         管登记的人
Templar         圣殿骑士
bursar          大学的会计
burglar          夜盗，夜贼
justiciar         法官，推事
2、表示物及其他
cellar           地窖
exemplar        模范，典型
altar            祭坛
calendar        日历
grammar        文法，语法
collar          领子
",suffix
-ard[名词后缀],"表示人（大多含有贬义）
drunkard         醉鬼，酒徒
laggard          落后者
Spaniard         西班牙人
bastard          私生子
dullard          笨人，笨汉
coward          胆怯者
dotard          年老昏惯的人
wizard          奇才，男巫
sluggard        懒汉
niggard         守财奴
",suffix
-arian[名词后缀],"1、表示人
parliamentarian   国会议员
attitudinarian     装模作样者
unitarian         拥护政治统一的人
alphabetarian     学字母的人
antiquarian       古物家
fruitarian         主要靠吃水果过日子的人
abecedarian      教或学a,b,c,d的人，初学者，启蒙老师
sectarian         宗派门徒
2、带此后缀的名词有的可兼作形容词，表示...的、...主义的
humanitarian      人道主义者，人道主义的
doctrinarian       教条主义者，教条主义的
equalitarian       平均主义者，平均主义的
vegetarian        素食者，素食的
establishmentarian 拥护即成权力机构的（人）
utilitarian          功利主义者，功利主义的
",suffix
-arium[名词后缀],"表示场所、地点、...馆、...室、...院、...所等
planetarium       天文馆
oceanarium      （海洋）水族馆
atomarium        原子馆
insectarium       昆虫馆
herbarium        植物标本室
sanitarium        疗养院
vivarium         动物饲养所
aquarium         水族馆
serpentarium     蛇类展览馆
frigidarium       冷藏室
solarium         日光浴室
columbarium     鸽棚
ovarium         卵巢
",suffix
-ary①[形容词后缀],"表示有...性质的，属于...的，关于...的
secondary       第二的
honorary        荣誉的
questionary     询问的
unitary          单元的
elementary      基本的
planetary        行星的
limitary         限制的
imaginary      想象中的
expansionary   扩张性的
customary      习惯的
disciplinary     纪律的
revolutionary    革命的
parliamentary    议会的
revisionary      修订的
monentary     片刻的
exemplary      模范的
②[名词后缀]
1、表示场所、地点
rosary        玫瑰园
dispensary    药房
infirmary      医院，医务室
library        图书馆
depositary    存放处
aviary        养鸟室
granary      谷仓（gran=grain）
apiary        养蜂所
2、表示人
secretary      书记，秘书
missionary     传教士
adversary      对手
revolutionary   革命者
notary         公证人
functionary     职官，官员
dignitary       居高位者
plenipotentiary  全权代表
3、表示抽象及抽象名词
dictionary      字典，词典
luminary       发光体
glossary       词汇表
formulary      公式汇编
salary         薪金
distributary    江河的支流
diary          日记本
anniversary    周年纪念
piscary       捕鱼权
vocabulary    词汇
",suffix
-ast[名词后缀],"表示人
gymnast       体操家
encomiast     赞美者
enthusiast     热心者
symposiast    参加宴会的人
scholiast      注解者
ecdysiast      脱衣舞舞女
",suffix
-aster[名词后缀],"表示人（卑称）
poetaster       劣等诗人
criticaster      低劣的批评家
medicaster     江湖医生，庸医
philosophaster  肤浅的哲学家
",suffix
-ate①[动词后缀],"表示做、造成、使之成...、做...事等意义
hyphenate      加连字符
orientate        使向东，定方向
differentiate     区别
triangulate      使成三角形
maturate       使成熟
luxuriate        享受，沉溺
oxygenate     氧化，充氧化
liquidate        清洗，清除
originate       发源，发起
assassinate     行刺，暗杀
②[形容词后缀]
表示有...性质的、如...形状的、具有...的
lineate         有线，划线的
determinate    确定的
roseate        玫瑰似的
fortunate       幸运的
considerate    考虑周到的
proportionate   成比例的
collegiate      大学的，学院的
private         私人的
passionate     热情的
③[名词后缀]
1、表示人
graduate       毕业生
delegate       代表
candidate      侯补者
curate         副牧师
magistrate     地方行政官
advocate      辩护者
2、表示职位，职权，总称等
doctorate      博士衔
directorate     指导者的职位
professoriate   教授职位
electorate      全体选民
3、构成化学名词，大多数表示由酸而成的盐类
carbonate      碳酸盐
borate         硼酸盐
sulphate       硫酸盐
acetate        醋酸盐
nitrate         硝酸盐
alcoholate      乙醇化物
",suffix
-atic[形容词后缀],"表示有...性质的、属于...的，具有...的
systematic      有系统的
idiomatic       惯用语的
problematic     有问题的
emblematic     象征的
diagrammatic    图解的
thematic        题目的，主题的
lymphatic       淋巴的
axiomatic       公理的
",suffix
-ation[名词后缀],"1、表示行为、情况、状态
interpretation    翻译，解释
excitation       兴奋，激动，刺激，激励
exploitation     剥削
starvation       饥饿
preparation     准备
relaxation       松弛，缓和
invitation        邀请
colouration      色彩，特色
transportation    运输
continuation     延续，继续
forestation      造林
ruination        毁灭，毁坏
conservation    保存，保护
lamentation     悲伤
importation      输入，进口
exportation      输出，出口
2、表示行为的过程、结果、或由行为而产生的事物
consideration    考虑
information      通知，消息
reformation      改革
combination     结合，联合
imagination      想象
quotation        引文，引语
explanation      说明，解释
declaration       宣言，声明
determination    决定
limitation        限制
occupation       占领，占据
exclaimation     感叹词
",suffix
-ative[形容词后缀],"表示有...性质的、与...有关的、属于...的、有...倾向的、有...作用的（带此后缀的词有的可兼作名词）
talkative          好说话的
determinative     有决定作用的
quotative         引用的
opinionative       意见（上）的
preventative      预防的
limitative         限制（性）的
designative       指定的
argumentative     争论的
continuative       继续的
informative       报告消息的
calmative         镇静的，镇静剂
preparative       准备的
formative         形成的
fixative           固定的，固着剂
comparative      比较的
affirmative        肯定的
",suffix
-ator[名词后缀],"表示做...工作的人或物
designator        指定者
comparator       比较器
conservator      保护者
condensator      凝结器
continuator       继续者
computator       计算机
pacificator        平定者
trafficator       （汽车的）方向指示器
valuator         评价者
commentator     评论者
excavator        挖掘者
illuminator        照明器
",suffix
-atory①[形容词后缀],"表示有...性质的、属于...的、具有...的（带有此后缀的形容词有的可兼作名词）
condemnatory    谴责的
invitatory         邀请的
excitatory        显示兴奋的
exclamatory      感叹的
explanatory      解释的
defamatory       诽谤的
preparatory       准备的
pacificatory      和解的
informatory       报告消息的
signtory         签约的，签约国
consolatory       安慰的
declaratory       宣告的
accusatory       责问的
pulsatory        跳动的
inflammatory     煽动的
②[名词后缀]
表示场所、地点
observatory     天文台
laboratory       实验室
conservatory    暖房，温室
lavatory         盥洗室，厕所
",suffix
-ce[副词后缀],"表示“...次”、“自...”、“从...”
once           一次
hence         因此，从今以后
twice          二次
thence        自那里，从那时起
thrice         三次
whence       从何处，由此
",suffix
-cy[名词后缀],"表示性质、状态、职权、官衔
normalcy       正常状态
generalcy      将军职权、任期
vacancy       空白，空虚
surgeoncy     外科医生职务
captaincy      船长的职位
colonelcy      上校衔
bankruptcy     破产
ensigncy       海军小尉衔
infancy        幼年期
idiocy         白痴，呆痴
",suffix
-dom[名词后缀],"1、表示情况、状态、性质、身份
freedom       自由
chiefdom      首领身份，地位
widom         智慧
serfdom       农奴身份
bachelordom  （男子）独身
beggardom    乞丐身份
monkdom      和尚身份
martyrdom     殉难，殉国
2、表示领域、“...界”、集体、总称
kingdom       王国，领域
Christendom   基督教世界，基督教徒总称
sportsdom     体育界
filmdom       电影界
negrodom     黑人社会
stardom       明星界
missiledom    导弹世界
newspaperdom 报界
devildom      魔界
officialdom     官场，政界
scoundreldom  无赖汉总称
",suffix
-ed[形容词后缀],"1、加在名词之后，表示“有...的”、“如...的”、“...的”
coloured       有色的
booted         穿靴的
moneyed       有钱的
dark-haired     黑发的
gifted          有天才的
kinde-hearted   好心的
talented        有才能的
conditioned     有条件的
haried         有毛发的
privileged       有特权的
winged         有翅的
skilled          熟练的
beared         有胡须的
balconied       有阳台的
aged           年老的，...岁的
horned         有角的
2、加在动词之后，表示“已...的”、“被...的”、“...了的”
failed           已失败的
fixed           被固定的
liberated        解放了的
determined      已决定了的
retired          已退休的
extended       扩展了的
condensed      缩短了的
confirmed       被证实了的
educated       受过教育的
returned        已归来的
married        已婚的
condemned     定了罪的
restreicted      受限制的
considered      考虑过的
closed         关闭了的
oiled           上了油的
finished         完成了的
wounded       受了伤的
",suffix
-ee[名词后缀],"1、表示人
（a）被动者
employee       被雇者，雇员，雇工
trainee          受训练的人
appointee       被任命者
electee         被选出者
callee          被呼唤者
invitee          被邀请乾
bombee        被轰炸的人
testee          被测验者
expellee        被驱逐者
examinee       接受考试者
tailee           被尾随者
payee          被付给者
interviewee      被接见者
detainee        被拘留者
deportee        被驱逐出境者
indictee         被告
trustee          被信托者
rejectee         被拒绝者
awardee        受奖者
（b）主动者
meetee         参加会议者
devotee        献身者
absentee       缺席者
retiree         退休者
escapee        逃亡者，逃犯，逃俘
standee       （剧院中）站票看客，（车、船中）站立乘客
refugee         难民，逃难者
embarkee        上船者
returnee        归来者
conferee        参加商谈者
（c）不含主动或被动意义者
townee          城里人，市民
grandee         要人，显贵
2、表示物
coatee         紧身上衣
settee         有靠背的椅子
vestee         背心形的衣服
bootee         轻便短统女靴
goatee         山羊胡子
",suffix
-eer[名词后缀],"表示人（专做某种工作或从事某种职业的人）
weaponeer      武器专家
rocketeer       火箭专家
fictioneer       小说作家
cannoneer      炮手
profiteer        牟取暴利者
charioteer      驾驶马车者
cabineer        卡宾枪手
mountaineer    登山者
sloganeer       使用口号者
camcleer       赶骆驼的人
engineer       工程师
volunteer      志愿者
pamphleteer    小册子作者
marketeer      市场上卖主
[注]-eer也可用作动词后缀，如：
electioneer     进行选举活动
profiteer       牟取暴利
auctioneer      拍卖
mountaineer    登山
commandeer   征用，强征
domineer      飞扬跋扈
",suffix
-el[名词后缀],"1、表示小
model         模型（比原物小）
parcel        小包裹
runnel        小河，小溪
cupel         灰皿
2、表示人、集体
personnel     全体人员
yokel         庄稼汉，乡下佬
scoundrel    恶棍，坏人
wastrel       浪费者
sentinel       哨兵
minstrel      呤游诗人
3、表示物
roundel      圆形物
flannel       法兰绒
costrel       有耳的坛子
cartel       交换俘虏协议书
chisel       凿子
funnel       漏斗
4、表示场所、地点
hotel        旅店、饭店
kennel      狗窝
hostel       旅店
brothel      妓院
tunnel       隧道，坑道
channel     航道，海峡
chancel      圣坛
charnel      尸骨存放所
",suffix
-en①[动词后缀],"表示做、使成为...、使变成...
shorten       使缩短
gladden       使快活
harden        使变硬
flatten        使变平
strengthen    加强
moisten       弄湿，使湿
deepen       加深，使深
sharpen       削尖
richen        使富
quicken        加快
darken       使黑，变黑
youthen       变年轻
heighten      加高，提高
fatten         使肥
lengthen      使延长，伸长
straighten      弄直，使直
broaden       加宽
sweeten       使变甜
thicken        使变厚
soften         弄软，使软化
②[形容词后缀]
表示由...制成的，含有...质的，似...的
wooden        木制的
leaden         铅制的
woolen         羊毛制的
golden         金质的，似金的
silken          丝的，如丝的
wheaten        小麦制的
earthen        泥质的，泥制的
waxen          蜡制的，似蜡的
ashen          灰的，似灰的
oaken          橡树制的
③[名词后缀]
1、表示人
warden         看守人
citizen          公民
vixen           刁妇，泼妇
denizen        居民
2、表示小称
maiden         少女
chicken         小鸡
kitten           小猫
",suffix
-ence[名词后缀],"与形容词后缀-ent相对应（如difference与different），构成抽象名词，表示性质、状态、行为、义同-ency，有此词具有-ence和-ency两种后缀形式（如innocence=innocency）
existence        存在，生存
insistence       坚持
dependence     依赖
emergence      浮现，出现
confidence      信任
persistence      坚持，持续
difference       不同，区别
despondence    沮丧，泄气
innocence       无罪，优秀
excellence      杰出，优秀
occurrence      发生，出现
convergence    会聚，集中
coherence       粘着
",suffix
-ency[名词后缀],"与形容词后缀-ent相对应（如urgency与urgent），构成抽象名词，表示性质、状态、
行为、义同-ence。有些词具有-ency与-ence两种后缀形式（如persistency=persistence）
urgency         紧急
insistency       坚持
emergency      紧急情况
innocency       无罪，天真
coherency       粘着
persistency      持续，坚持
insolvency       无偿还能力
convergency     会聚，集中
despondency     沮丧，泄气
tendency         趋向，倾向
",suffix
-end[名词后缀],"构成抽象名词，大多见于数学术语，亦作-and
dividend        被除数
multiplicand     被乘数
addend        加数
subtrahend     减数
minuend        被减数
legend        传奇，传说
errand         使命
",suffix
-enne[名词后缀],"表示女性
comedienne     女喜剧演员
tragedienne     女悲剧演员
equestrienne    女骑手，女马术师
",suffix
-ent①[形容词后缀],"与名词后缀-ence或-ency相对应，表示具有...性质的，关于...的
existent         存在的，现存的
insistent        坚持的
emergent       紧急的
confident        自信的
persistent       持久的，坚持的
dependent      依赖的
different        不同的
excellent       杰出的
occrurent       偶然发生的
despondent     沮丧的
②[名词后缀]
1、表示人
student         学生
resident        居民
correspondent  通讯员
president       总统，大学校长
patient          病人
antecedent      先行者
2、表示物（...剂、...药）
detergent        洗涤剂
corrodent        腐蚀剂
solvent          溶液
absorbent       吸收剂
abluent          洗净剂
corrigent        矫正药
",suffix
-eous[形容词后缀],"表示有...性质的，关于...的，如...的，具有...的，与-ous同
righteous        正直的
beauteous       美丽的
gaseous         气体的，气态的
carneous        肉色的
duteous         忠实的
courteous       有礼貌的
erroneous       错误的
aqueous         水的，水成的
",suffix
-er①[名词后缀],"1、表示人
（a）行为的主动者，做某事的人
singer           歌唱家
dancer          跳舞者
teacher          教师
writer            作者，作家
reader           读者
leader           领袖
fighter           战士
worker           工人
farmer           农民
turner           车工
（b）与某事物有关的人
hatter           帽商，制帽工人
banker          银行家
wagoner         驾驶运货车的人
tinner           锡匠
weekender      度周末假者
teenager        (十三至十九岁的)青少年
six-footer       身高六英尺以上的人
miler           一英里赛跑运动员
（c）属于某国、某地区的人
United Stateser   美国人
New Yorker      纽约人
Thailander       泰国人
New Zealander   新西兰人
northerner       北方人
southerner       南方人
Britisher         英国人
Londoner        伦敦人
Icelander        冰岛人
islander         岛国
inlander         内地人
villager          村民
2、表示物（与某事物有关之物或能做某事之物）及动物（能做某事的动物）
washer           洗衣机
lighter            打火机
heater            加热器
cutter            切削器，刀类
boiler            煮器，锅
fiver             五元钞票
tenner           十元钞票
silencer          消音器
woodpecker      啄木鸟
creeper           爬行动物，爬虫
3、加在方位词上表示“...风”
norther          强北风
northwester      强西北风
souther         强南风
southeaster      强东南风
②[动词后缀]
表示反复动作，连续动作及拟声动作
waver           来回摆动
chatter          喋喋不休
stutter           结舌，口吃
batter           连打
mutter           喃喃自语
clatter           作卡嗒声
patter           发嗒嗒声
whisper         低语，作沙沙声
③[形容词及副词后缀]
表示比较级“更...”
graeter          更大
warmer          更暖
happier         更快乐
faster           更快
earlier          更早
harder          更努力
",suffix
-ern①[形容词后缀],"加在方位词上表示“...方向的”
eastern         东方的
western         西方的
northeastern    东北的
southern        南方的
northern        北方的
southwestern    东南的
②[名词后缀]
表示场所、地点
saltern         盐场
cavern         洞穴
lectern        （教堂中）读经台
cistern        蓄水池，水塘
",suffix
-ery[名词后缀],"1、表示场所、地点、工作处
printery        印刷所
nursery        托儿所
brewery       酿造厂
piggery        猪圈
vinery         葡萄园
drinkery       酒吧间
dancery       跳舞厅
eatery         餐馆，食堂
smithery       铁工厂
rosery         玫瑰园
bakery        烤面包房
nunnery       尼姑庵
rookery        白嘴鸦巢
spinnery       纺纱厂
greenery       花房，温室
goosery       养鹅场
2、表示行为、状态、情况、性质
robbery        掠夺，抢劫
foolery         愚蠢行为
trickery        欺诈
doggery        狗性，卑鄙行为
bravery        勇敢，大胆
bribery         贿赂
3、表示行为、法、术、身份等
fishery         渔业，捕鱼术
drapery        布匹服装行业
cookery        烹调法
housewifery    家务，家政
missilery       导弹技术
slavery         奴隶身份
",suffix
-esce[动词后缀],"表示动作开始或正在进行。它的对应名词后缀为-escence或-escency，它的对应形容词后缀为-escent
evanesce       渐渐消失
effloresce       开花
senesce        开始衰老
coalesce        联合，结合
fluoresce       发萤光
deliquesce      潮解，液化
convaleace     渐愈，恢复健康
rejuvenesce    （使）返老还童
obsolesce      废除不用
incandesce     （使）白热化，炽热化
",suffix
-escence[名词后缀],"构成抽象名词，表示开始，正在，逐渐形成某种状态、情况或性质，略...，似...，它的对应形容词后缀为-escent，亦作-escency。有些词具有-escence和-escency两种后缀形式
coalescence     联合，结合
senescence     衰老
juvenescence   变年轻
incandescence  白炽
efflorescence    开花期，花开
evanescence    渐渐消失
deliquescence   潮解，液化
rejuvenescence  返老还童
",suffix
-escent[形容词后缀],"表示开始、正在、逐渐成为某种状态的，似...的、略...的
efflorescent     正在开花的
evanescent     渐渐消失的
rejuvenesecent  返老还童的
senescent      逐渐衰老的
liquescent     （可）液化的
ignescent      发出火花的
convalescent   逐渐痊愈的
incandescent   白炽的
juvenescent    逐渐成为青年的
ingravescent   （病等）越来越重的
",suffix
